LAD20NM,rtrft_need_indx_reltv_indx_mean,std.dev,iqr,min,max,skewness,kurtosis,n.obs,missing.obs
Staffordshire Moorlands,0.887,0.6111,0.4987,0.2932,3.0189,1.723,2.7002,59,0
Kettering,0.8841,0.6613,0.8636,0.1409,3.2725,1.3264,1.7826,57,0
Solihull,0.8795,0.6674,0.9162,0.1055,3.0598,1.0932,0.4654,134,0
Wellingborough,0.8791,0.5355,0.9004,0.1933,2.1059,0.6167,-0.5563,47,0
Hounslow,0.8714,0.396,0.5329,0.1157,2.3388,0.7941,0.8853,142,0
Chorley,0.8714,0.6273,0.8436,0.1589,2.875,1.4051,1.6978,66,0
Northampton,0.8693,0.4916,0.7074,0.1808,2.6489,0.8696,0.6646,133,0
Newark and Sherwood,0.8663,0.5935,0.6708,0.1876,2.8205,1.3828,1.4926,70,0
Lambeth,0.8647,0.3857,0.486,0.1249,2.3125,0.9321,1.3476,178,0
Broxtowe,0.857,0.535,0.6632,0.1364,2.5556,1.1584,1.0154,71,0
Forest of Dean,0.855,0.4347,0.545,0.2072,2.282,1.0643,1.4469,50,0
Stevenage,0.854,0.3749,0.4688,0.2342,1.9044,0.5695,0.1415,52,0
Redbridge,0.846,0.4012,0.6094,0.1826,2.0042,0.4574,-0.2726,161,0
East Riding of Yorkshire,0.8456,0.71,0.7271,0.1203,3.7074,1.8401,3.4745,210,0
Warrington,0.8396,0.6051,0.8472,0.1212,2.4168,0.9921,0.0951,127,0
High Peak,0.8395,0.5262,0.6973,0.253,2.3052,1.1085,0.6338,59,0
Brighton and Hove,0.8362,0.4778,0.6045,0.2379,2.4642,1.1464,0.9269,165,0
East Staffordshire,0.8325,0.5563,0.8914,0.1707,2.4535,0.9218,0.0762,72,0
Shropshire,0.8302,0.4479,0.5769,0.1682,2.986,1.4123000000000001,3.2152,193,0
"Herefordshire, County of",0.8279,0.448,0.4443,0.1853,2.8036,1.7159,3.8983,116,0
Redditch,0.827,0.5026,0.8143,0.1574,1.9426,0.5973,-0.7599,55,0
Hillingdon,0.827,0.3866,0.5903,0.189,1.9184,0.5089,-0.3646,161,0
Reading,0.8251,0.4912,0.7061,0.1697,2.18,0.8243,-0.0549,97,0
Oadby and Wigston,0.8157,0.5862,0.6643,0.182,2.94,1.768,3.903,36,0
Tower Hamlets,0.8143,0.4077,0.5881,0.0991,1.8681,0.2603,-0.3374,144,0
North Warwickshire,0.8128,0.4345,0.559,0.2671,1.8226,0.9425,-0.1704,38,0
Hammersmith and Fulham,0.8124,0.4623,0.5416,0.1255,2.5186,1.2707,1.8351,113,0
Bedford,0.8117,0.4894,0.7392,0.162,2.515,1.0334,0.816,103,0
Havering,0.8075,0.4206,0.5912,0.1907,2.1876,0.8595,0.2052,150,0
Gosport,0.8064,0.4029,0.6048,0.1785,1.965,0.5934,0.1618,53,0
Mid Devon,0.8043,0.3797,0.523,0.2365,1.9463,0.7181,0.3784,43,0
Worcester,0.8005,0.5071,0.6686,0.2053,2.3304,1.171,0.7853,63,0
North Somerset,0.7981,0.6735,0.5993,0.1282,3.1667,1.8097,2.9788,135,0
Lewes,0.7937,0.4361,0.5823,0.1939,2.3016,1.3136,1.989,62,0
Gravesham,0.791,0.3941,0.5986,0.2942,1.9025,0.6971,-0.1372,64,0
South Somerset,0.7905,0.4211,0.62,0.1395,2.0418,0.7117,-0.0547,103,0
Mendip,0.788,0.4126,0.4791,0.2208,2.2244,1.375,2.119,66,0
Harlow,0.7808,0.3437,0.449,0.1553,1.8342,0.3028,0.5755,54,0
Southwark,0.7806,0.355,0.4533,0.0961,1.776,0.2059,-0.1668,166,0
Breckland,0.7716,0.3923,0.5783,0.134,1.9918,0.9362,0.827,78,0
Ryedale,0.7696,0.3312,0.5556,0.3156,1.3644,0.423,-1.2014,30,0
Canterbury,0.7632,0.5536,0.5742,0.1464,2.8856,1.8445,3.8297,90,0
South Ribble,0.7616,0.4478,0.5937,0.183,2.0878,1.1121,0.6164,70,0
Lichfield,0.7589,0.4888,0.6258,0.2051,2.1212,1.0898,0.5502,58,0
Bexley,0.7584,0.4265,0.5755,0.2034,2.2162,1.1816,1.2648,146,0
Cheshire East,0.7526,0.6147,0.7597,0.13,3.1165,1.5257,1.9571,234,0
Maldon,0.7489,0.3706,0.5236,0.1682,1.6186,0.7361,-0.2278,40,0
Swindon,0.7464,0.5728,0.6639,0.1281,2.4424,1.3033,0.8648,132,0
Dorset,0.7422,0.3987,0.4615,0.1517,3.0327,1.6651,5.1231,219,0
East Devon,0.723,0.3155,0.4006,0.2165,1.706,0.8112,0.1361,81,0
South Hams,0.7208,0.3478,0.4458,0.1617,1.6059,0.6061,-0.0896,49,0
Camden,0.7192,0.419,0.6404,0.1306,1.9066,0.6593,-0.2437,133,0
Craven,0.7185,0.5748,0.267,0.2717,2.8707,2.9914,9.0024,32,0
South Staffordshire,0.7159,0.4068,0.4839,0.177,2.0175,1.459,1.9779,68,0
Kensington and Chelsea,0.706,0.5629,0.8217,0.0999,2.5674,1.0674,0.3708,103,0
