year,acorn_LSOA2011,rni,rni_N,rni_sa1,rni_sa1_N,rni_sa2,rni_sa2_N,rni_health_vuln,rni_health,rni_big_pc,rni_big_sa1_pc,rni_big_sa2_pc,lowEPC_pc,poverty_pc,eligibility_pc,eligibility_sa1_pc,eligibility_sa2_pc,imd_dec,imd_inc_score
2025,E01006493,0.876023600711332,618,0.279190437932777,618,0.737114272080278,528,1.0155700927381,1.00639087655683,0.0436893203883495,0.106796116504854,0.0492424242424242,0.153721682847896,0.566343042071198,0.0744336569579288,0.153721682847896,0.0795454545454545,1,0.559
2025,E01006494,1.60221130080533,677,0.459918210588395,677,1.28747620503741,592,1.01715261458416,1.00303258617365,0.0738552437223043,0.161004431314623,0.0777027027027027,0.257016248153619,0.574593796159527,0.137370753323486,0.257016248153619,0.140202702702703,1,0.536
2025,E01006495,0.303769137905678,864,0.238435848701908,864,0.20932926614142,696,1.01012402410573,1.003676194809,0.0127314814814815,0.0763888888888889,0.0129310344827586,0.134259259259259,0.322916666666667,0.0266203703703704,0.134259259259259,0.0229885057471264,1,0.322
2025,E01006496,1.17177983724094,541,0.876963719382444,541,1.23410925262347,333,1.00894190617721,1.00603157980707,0.0646950092421442,0.282809611829945,0.0960960960960961,0.497227356746765,0.186691312384473,0.099815157116451,0.497227356746765,0.132132132132132,2,0.194
2025,E01006497,0.752673776555259,428,0.866141018650461,428,0.814115120869805,256,1.01013464776847,1.00634110744006,0.0467289719626168,0.289719626168224,0.0703125,0.485981308411215,0.144859813084112,0.0630841121495327,0.485981308411215,0.0859375,3,0.159
2025,E01006498,0.26409462106641,528,0.912109353258772,528,0.307365910415883,277,0.990689008417738,0.999005981652517,0.0132575757575758,0.287878787878788,0.0252707581227437,0.522727272727273,0.053030303030303,0.0227272727272727,0.522727272727273,0.0324909747292419,7,0.057
2025,E01006499,0.474307707085682,709,0.877720528614123,709,0.52185446516282,455,0.992404642387759,0.998334958514015,0.0225669957686883,0.269393511988717,0.032967032967033,0.503526093088858,0.107193229901269,0.0409026798307475,0.503526093088858,0.0571428571428571,5,0.095
2025,E01006500,1.01278373077874,423,0.61788942412035,423,1.0801930651482,302,1.01970222167775,1.00637335479783,0.0591016548463357,0.219858156028369,0.0794701986754967,0.347517730496454,0.267139479905437,0.0851063829787234,0.347517730496454,0.115894039735099,1,0.288
2025,E01006501,0.923684435974527,469,0.928437893874988,469,0.948212921464048,299,0.991920354825494,1.00210899985094,0.0575692963752665,0.292110874200426,0.0769230769230769,0.533049040511727,0.151385927505331,0.0767590618336887,0.533049040511727,0.100334448160535,4,0.134
2025,E01006502,1.070068983689,696,1.26108281889515,696,1.29404885559951,336,1.00629050873235,0.999701446558214,0.0603448275862069,0.443965517241379,0.104166666666667,0.711206896551724,0.126436781609195,0.0905172413793103,0.711206896551724,0.136904761904762,4,0.11
2025,E01006503,0.551694084653169,477,1.27177237198479,477,0.766511435763068,232,1.01539395340986,1.00150568765729,0.0335429769392034,0.450733752620545,0.0603448275862069,0.714884696016772,0.0607966457023061,0.0461215932914046,0.714884696016772,0.0818965517241379,6,0.064
2025,E01006504,0.809809592311048,445,0.479592117838978,445,0.738701565490867,316,0.998125755062442,1.00395456181892,0.0404494382022472,0.146067415730337,0.0569620253164557,0.274157303370787,0.337078651685393,0.0696629213483146,0.274157303370787,0.0791139240506329,1,0.347
2025,E01006505,1.15453016485781,606,0.542754446615318,606,1.05736826761358,462,1.00669663352331,1.00575332513966,0.0577557755775578,0.181518151815182,0.0714285714285714,0.305280528052805,0.311881188118812,0.099009900990099,0.305280528052805,0.114718614718615,1,0.308
2025,E01006506,1.20226497531945,505,0.821044757096803,505,1.18697543376437,312,0.992168795009577,0.998937409749879,0.0554455445544555,0.255445544554455,0.0737179487179487,0.471287128712871,0.205940594059406,0.104950495049505,0.471287128712871,0.131410256410256,1,0.215
2025,E01006507,1.20341932670685,597,0.475915406005414,597,1.05174373196873,412,1.00170709671504,1.00504811451337,0.0569514237855946,0.14572864321608,0.0703883495145631,0.273031825795645,0.391959798994975,0.103852596314908,0.273031825795645,0.114077669902913,1,0.394
2025,E01006508,1.00946084183864,523,0.891267022120841,523,1.03673000086578,331,0.994861590321096,1.00048843165216,0.0592734225621415,0.267686424474187,0.0845921450151058,0.510516252390057,0.179732313575526,0.0841300191204589,0.510516252390057,0.108761329305136,2,0.207
2025,E01006509,0.738834389211583,826,0.330659374044956,826,0.683913408949389,633,1.00530336393286,1.00297064619037,0.0326876513317191,0.0956416464891041,0.037914691943128,0.190072639225182,0.391041162227603,0.0641646489104116,0.190072639225182,0.0758293838862559,1,0.381
2025,E01006510,1.18710665351807,509,1.01712468095445,509,1.33701383878268,270,1.00952097727312,1.00005671728063,0.0667976424361493,0.359528487229863,0.111111111111111,0.573673870333988,0.161100196463654,0.100196463654224,0.573673870333988,0.140740740740741,2,0.17
2025,E01006512,0.380203244751434,758,0.877070864301084,758,0.429667897192868,450,0.932153091854276,0.988381275759012,0.0184696569920844,0.138522427440633,0.0311111111111111,0.534300791556728,0.0606860158311346,0.0329815303430079,0.534300791556728,0.0466666666666667,5,0.066
2025,E01006513,0.117864060751821,1475,0.632969726879571,1475,0.148107894937555,757,0.899444384096929,0.98621910769851,0.00271186440677966,0.0298305084745763,0.00528401585204756,0.402033898305085,0.0305084745762712,0.0108474576271186,0.402033898305085,0.0171730515191546,4,0.026
2025,E01006514,1.4405705536172,908,0.803758536030187,908,1.38470811509372,432,0.928789062445318,0.992565638130794,0.026431718061674,0.112334801762115,0.0486111111111111,0.491189427312775,0.256607929515419,0.133259911894273,0.491189427312775,0.159722222222222,2,0.264
